n,density,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter
100,1.0,0.2,0.0,0.0,0.1,1000000,[0.0],2.330378460637827,0.42730609131766983,0.15023047596890002,0.2564591007286795,120.3,61.26454475832204
100,1.0,0.2,0.5,0.5,0.1,1000000,[0.0],2.647583703554823,0.5449338047255161,0.165003648244,0.2674250404178724,96.2,14.883249346534214
100,1.0,0.2,1.0,1.0,0.1,1000000,[0.0],2.8184247227223023,0.39643916203728474,0.15771000788599998,0.2507883942232418,94.6,31.44731043083547
100,1.0,0.2,1.5,1.5,0.1,1000000,[0.0],2.5685600177396033,0.6792766668870234,0.15128170337969998,0.2551957225108101,104.3,20.243243042775752
100,1.0,0.3,0.0,0.0,0.1,1000000,[0.0],1.695463574739732,0.29090342062623753,0.127530990327,0.26288324254375556,95.6,20.902950349970535
100,1.0,0.3,0.5,0.5,0.1,1000000,[0.0],1.5530978347798172,0.36659658007348067,0.10358502096900002,0.23700090063400625,85.5,33.853442299942785
100,1.0,0.3,1.0,1.0,0.1,1000000,[0.0],1.8262723387173803,0.24845195957631427,0.15122761914629998,0.2832576174772728,109.2,13.028174597131146
100,1.0,0.3,1.5,1.5,0.1,1000000,[0.0],1.8280384607936768,0.23062096648975458,0.143747256491,0.2686898065217751,121.9,10.170217958988555
100,1.0,0.5,0.0,0.0,0.1,1000000,[0.0],1.0020199959192002,0.006387787968917983,0.0011304033000000006,0.031144805925700746,96.3,44.30462729783426
100,1.0,0.5,0.5,0.5,0.1,1000000,[0.0],1.0020199959192002,0.006387787968917982,0.0011057319430000001,0.030237027266116667,119.4,4.2998707990925595
100,1.0,0.5,1.0,1.0,0.1,1000000,[0.0],1.0040799333888426,0.012901882210512108,0.002097828271,0.04352626005550513,121.3,3.917198545446024
100,1.0,0.5,1.5,1.5,0.1,1000000,[0.0],1.0061796559779146,0.019541788046485424,0.002859593646,0.04926799284621316,124.5,6.293735862833069
100,1.0,0.2,0.0,0.0,0.3,1000000,[0.0],2.6591395485722558,0.36043416283356455,0.1579297516169,0.2570951096010814,38.1,4.976611966656298
100,1.0,0.2,0.5,0.5,0.3,1000000,[0.0],2.5691987867403214,0.5454032970465204,0.1604301186464,0.2701303196223915,48.7,24.711895471164848
100,1.0,0.2,1.0,1.0,0.3,1000000,[0.0],3.2212769365158613,0.6328898456963569,0.16745045564150002,0.25856725563375177,35.8,6.106462878695726
100,1.0,0.2,1.5,1.5,0.3,1000000,[0.0],2.8060907547911116,0.5151386098675226,0.1610051399488,0.2593428942923415,54.9,16.71625954971187
100,1.0,0.3,0.0,0.0,0.3,1000000,[0.0],1.893591770609321,0.10776082675006204,0.16367685779799998,0.29591782886173124,39.5,2.5495097567963922
100,1.0,0.3,0.5,0.5,0.3,1000000,[0.0],1.8504937725468795,0.4116531142526157,0.1418737248715,0.27110748287890185,37.7,9.933668898135158
100,1.0,0.3,1.0,1.0,0.3,1000000,[0.0],1.9095494526472598,0.3606762070468881,0.1436598973827,0.26486523214939756,44.8,13.87083270751976
100,1.0,0.3,1.5,1.5,0.3,1000000,[0.0],1.8672819151801783,0.3333480256944781,0.14018763671,0.2616851362690478,67.3,28.304102568748267
100,1.0,0.5,0.0,0.0,0.3,1000000,[0.0],1.0123588826529584,0.026265844608276072,0.005264890777,0.06690727236804299,52.7,35.27054169007206
100,1.0,0.5,0.5,0.5,0.3,1000000,[0.0],1.0040399918384004,0.008517050625223977,0.0019217830089999998,0.039145318161078135,42.6,1.5055453054181622
100,1.0,0.5,1.0,1.0,0.3,1000000,[0.0],1.0,0.0,0.000187978488,0.0002786165116281506,45.9,1.728840330651992
100,1.0,0.5,1.5,1.5,0.3,1000000,[0.0],1.0211486143591517,0.049163160789510274,0.007734342456100001,0.07758595199905882,48.9,2.5582111805799856
100,1.0,0.2,0.0,0.0,0.5,1000000,[0.0],2.6629236724030103,0.3913221868489953,0.1587359666332,0.2583237449385978,32.9,5.043147165543886
100,1.0,0.2,0.5,0.5,0.5,1000000,[0.0],2.7750343667578354,0.3075170814506554,0.1597266469757,0.25372488325314,33.8,20.842264752180842
100,1.0,0.2,1.0,1.0,0.5,1000000,[0.0],2.698520080976059,0.524222729749492,0.1551387578862,0.25214210546867505,32.1,10.50343859039611
100,1.0,0.2,1.5,1.5,0.5,1000000,[0.0],2.9286924172288886,0.4145560044423377,0.15555229712149998,0.2453481662229162,55.4,34.348540321565665
100,1.0,0.3,0.0,0.0,0.5,1000000,[0.0],1.9145924639886935,0.14199661487373205,0.1584581287047,0.2852699037107908,23.1,2.131770260709264
100,1.0,0.3,0.5,0.5,0.5,1000000,[0.0],1.7962908588372202,0.2435775844913929,0.1359389384036,0.25893153322560447,22.1,2.4244128727957572
100,1.0,0.3,1.0,1.0,0.5,1000000,[0.0],1.81716141150231,0.34631143465745906,0.136573822464,0.2617043275725276,45.4,15.421485733295034
100,1.0,0.3,1.5,1.5,0.5,1000000,[0.0],1.816375177173806,0.2061285310612121,0.1355635524768,0.25919895065981663,66.3,23.30498277669868
100,1.0,0.5,0.0,0.0,0.5,1000000,[0.0],1.0786495841511599,0.15156083449558688,0.0241335157542,0.13648901941599292,38.7,23.74891810401289
100,1.0,0.5,0.5,0.5,0.5,1000000,[0.0],1.057636471591545,0.07690787694834773,0.019036484597999996,0.11789028833692598,37.9,15.891647002260164
100,1.0,0.5,1.0,1.0,0.5,1000000,[0.0],1.3409827424220424,0.40968237585704115,0.0664034633696,0.20152839889779206,32.4,4.087922591134904
100,1.0,0.5,1.5,1.5,0.5,1000000,[0.0],1.089386515350601,0.11353248765612911,0.0247258458483,0.12540429697592706,33.6,2.5473297566057065
